,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2014,1,18,12,,,240.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,20,2,,,260.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,20,3,,,280.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,20,5,,,290.0,,,240.0,-9999.0,,,360.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,20,6,,,290.0,,,240.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,20,8,,,290.0,,,230.0,-9999.0,,,330.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,21,6,,,270.0,,,230.0,-9999.0,,,360.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,21,8,,,260.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,21,9,,,260.0,,,240.0,-9999.0,,,150.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,21,10,,,260.0,,,240.0,-9999.0,,,180.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,
2014,1,21,11,,,250.0,,,240.0,-9999.0,,,180.0,,,,26.0,-9999.0,-9999.0,-9999.0,,,
2014,1,21,12,,,250.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,21,23,,,230.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,22,0,,,240.0,,,230.0,-9999.0,,,120.0,,,,15.0,-9999.0,-9999.0,-9999.0,,,
2014,1,22,1,,,250.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,22,3,,,280.0,,,240.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,22,5,,,310.0,,,230.0,-9999.0,,,,,0.0,,,,,0.0,-9999.0,-9999.0,-9999.0
2014,1,22,6,,,310.0,,,230.0,-9999.0,,,150.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,
2014,1,22,7,,,310.0,,,230.0,-9999.0,,,,30.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,22,8,,,300.0,,,230.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,22,9,,,270.0,,,230.0,-9999.0,,,,60.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,22,10,,,280.0,,,230.0,-9999.0,,,330.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
2014,1,22,11,,,260.0,,,230.0,-9999.0,,,270.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,22,12,,,240.0,,,230.0,-9999.0,,,330.0,,,,62.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,0,,,240.0,,,230.0,-9999.0,,,,40.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,23,1,,,240.0,,,230.0,-9999.0,,,,90.0,,,,26.0,-9999.0,-9999.0,-9999.0,,
2014,1,23,3,,,250.0,,,230.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,4,,,280.0,,,230.0,-9999.0,,,360.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,5,,,280.0,,,240.0,-9999.0,,,360.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,6,,,270.0,,,230.0,-9999.0,,,360.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,7,,,260.0,,,220.0,-9999.0,,,360.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,8,,,270.0,,,220.0,-9999.0,,,360.0,,,,77.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,9,,,250.0,,,220.0,-9999.0,,,360.0,,,,51.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,10,,,250.0,,,220.0,-9999.0,,,330.0,,,,36.0,-9999.0,-9999.0,-9999.0,,,
2014,1,23,11,,,240.0,,,230.0,-9999.0,,,330.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
