,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
226,1,29,15,,10.0,-54.0,10217.0,,10.0,7.0,-9999.0,-9999.0,377350-99999-2017
227,1,29,18,,-8.0,-54.0,10225.0,,10.0,5.0,-9999.0,-9999.0,377350-99999-2017
228,1,29,21,,,10226.0,,,,-9999.0,-9999.0,,377350-99999-2017
229,1,30,0,,,10246.0,,,,-9999.0,-9999.0,,377350-99999-2017
230,1,30,3,,,10259.0,,,,-9999.0,-9999.0,,377350-99999-2017
231,1,30,6,,-2.0,-94.0,10271.0,,20.0,2.0,-9999.0,-9999.0,377350-99999-2017
232,1,30,9,,21.0,-72.0,10270.0,,40.0,2.0,-9999.0,-9999.0,377350-99999-2017
233,1,30,12,,37.0,10262.0,,,,-9999.0,-9999.0,,377350-99999-2017
234,1,30,15,,,,-65.0,10263.0,,,2.0,-9999.0,377350-99999-2017
235,1,30,18,,,10272.0,,,,-9999.0,,,377350-99999-2017
236,1,30,21,,,10271.0,,,-9999.0,,,,377350-99999-2017
237,1,31,0,,,10270.0,,,-9999.0,,,,377350-99999-2017
238,1,31,3,,,10265.0,,,,-9999.0,,,377350-99999-2017
239,1,31,6,,,10266.0,,,,-9999.0,-9999.0,,377350-99999-2017
240,1,31,9,,,10270.0,,,,-9999.0,,,377350-99999-2017
241,1,31,12,,,10256.0,,,,-9999.0,-9999.0,,377350-99999-2017
242,1,31,15,,,10257.0,,,,-9999.0,,,377350-99999-2017
243,1,31,18,,,10256.0,,,,-9999.0,-9999.0,,377350-99999-2017
244,1,31,21,,,10253.0,,,,-9999.0,-9999.0,,377350-99999-2017
245,2,1,0,,,10246.0,,,,-9999.0,-9999.0,,377350-99999-2017
246,2,1,3,,,10246.0,,,,-9999.0,-9999.0,,377350-99999-2017
247,2,1,6,,,10255.0,,,,-9999.0,-9999.0,,377350-99999-2017
248,2,1,9,,-2.0,-14.0,10261.0,,10.0,8.0,-9999.0,-9999.0,377350-99999-2017
249,2,1,12,,,,-14.0,10255.0,,,5.0,-9999.0,377350-99999-2017
250,2,1,15,,,10263.0,,,,-9999.0,-9999.0,,377350-99999-2017
251,2,1,18,,,10277.0,,,,-9999.0,-9999.0,,377350-99999-2017
252,2,1,21,,,10276.0,,,,-9999.0,-9999.0,,377350-99999-2017
253,2,2,0,,,10269.0,,,,-9999.0,-9999.0,,377350-99999-2017
254,2,2,3,,,10263.0,,,,-9999.0,-9999.0,,377350-99999-2017
255,2,2,6,,,,-90.0,10269.0,,,0.0,-9999.0,377350-99999-2017
256,2,2,9,,35.0,-76.0,10268.0,,30.0,0.0,-9999.0,-9999.0,377350-99999-2017
257,2,2,12,,50.0,-83.0,10249.0,,30.0,2.0,-9999.0,-9999.0,377350-99999-2017
258,2,2,15,,28.0,-74.0,10242.0,,20.0,0.0,-9999.0,-9999.0,377350-99999-2017
259,2,2,18,,13.0,-75.0,10254.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
260,2,2,21,,-2.0,-70.0,10262.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
261,2,3,0,,,10269.0,,,,-9999.0,-9999.0,,377350-99999-2017
262,2,3,3,,,,,250.0,,-9999.0,,,377350-99999-2017
263,2,3,6,,26.0,-87.0,10293.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
264,2,3,9,,33.0,-50.0,10296.0,,,,2.0,-9999.0,377350-99999-2017
265,2,3,12,,64.0,-55.0,10282.0,,10.0,,,,377350-99999-2017
266,2,3,15,,22.0,-42.0,10283.0,,10.0,0.0,-9999.0,-9999.0,377350-99999-2017
267,2,3,18,,-8.0,-26.0,10298.0,,,-9999.0,-9999.0,,377350-99999-2017
268,2,3,21,,,10307.0,,,,-9999.0,,,377350-99999-2017
269,2,4,0,,,10306.0,,,,-9999.0,-9999.0,,377350-99999-2017
270,2,4,3,,-8.0,-40.0,10301.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
271,2,4,6,,-8.0,-40.0,10301.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
272,2,4,9,,29.0,-47.0,10290.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
273,2,4,12,,41.0,-54.0,10265.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
274,2,4,15,,16.0,-35.0,10252.0,,10.0,6.0,-9999.0,-9999.0,377350-99999-2017
275,2,4,18,,,,-32.0,10258.0,,,8.0,-9999.0,377350-99999-2017
276,2,4,21,,,,-22.0,10250.0,-9999.0,8.0,-9999.0,-9999.0,377350-99999-2017
277,2,5,0,,,,-28.0,10238.0,,,8.0,-9999.0,377350-99999-2017
278,2,5,3,,10.0,-43.0,10224.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
279,2,5,6,,28.0,-65.0,10223.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
280,2,5,9,,78.0,-44.0,10210.0,,20.0,4.0,-9999.0,-9999.0,377350-99999-2017
281,2,5,12,,,10185.0,,,-9999.0,,,,377350-99999-2017
282,2,5,15,,72.0,-17.0,10178.0,,10.0,,,,377350-99999-2017
283,2,5,18,,30.0,-35.0,10193.0,,10.0,2.0,-9999.0,-9999.0,377350-99999-2017
284,2,5,21,,42.0,-48.0,10192.0,,10.0,5.0,-9999.0,-9999.0,377350-99999-2017
