,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,11,,,10154.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10151.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,11,,,10145.0,,,-9999.0,,,,,,,723403-13963-2017
2017,1,11,,,10147.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10151.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10154.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10152.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10149.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10139.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10128.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10118.0,,,,,-9999.0,,,,,723403-13963-2017
2017,1,11,,,10112.0,,,,,-9999.0,,,,,723403-13963-2017
2017,1,11,,,10116.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,11,,,10117.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10118.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10121.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10120.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10125.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10125.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10131.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10135.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10138.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10144.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10150.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10151.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10149.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,12,,,10155.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,12,,,10163.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,12,,,10178.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,12,,,10187.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10198.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10202.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10197.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10192.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10192.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10198.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10205.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,12,,,10214.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,13,,,10220.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,13,,,10227.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,13,,,10236.0,,,,,,,,,,723403-13963-2017
2017,1,13,,,10248.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,13,,,10259.0,,30.0,62.0,-9999.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,13,,,94.0,10264.0,,,51.0,,,0.0,,,723403-13963-2017
2017,1,13,,,89.0,10269.0,,,41.0,,,0.0,,,723403-13963-2017
2017,1,13,,,89.0,10272.0,,,57.0,,,0.0,,,723403-13963-2017
2017,1,13,,,72.0,10283.0,,,57.0,,,0.0,,,723403-13963-2017
2017,1,13,,89.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,13,,78.0,,50.0,,,,,,,,,723403-13963-2017
2017,1,13,,61.0,,39.0,,,,,,-1.0,,,723403-13963-2017
2017,1,13,,44.0,,44.0,,,,,,,,,723403-13963-2017
2017,1,13,,39.0,,39.0,,,,,,,,,723403-13963-2017
2017,1,13,,39.0,,39.0,,,,,,,,,723403-13963-2017
2017,1,13,,39.0,,39.0,,,,,,,,,723403-13963-2017
2017,1,13,,44.0,,44.0,,,,,,,,,723403-13963-2017
2017,1,13,,44.0,,44.0,,,,,,,,,723403-13963-2017
2017,1,13,,44.0,,44.0,,,,,,,,,723403-13963-2017
2017,1,13,,50.0,,50.0,,,,,,,,,723403-13963-2017
2017,1,13,,44.0,,44.0,,,,,,,,,723403-13963-2017
2017,1,13,-9999.0,,50.0,,41.0,,9.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,14,,39.0,,39.0,,,,,,,,,723403-13963-2017
2017,1,14,,44.0,,44.0,,,15.0,,9.0,,-1.0,-9999.0,723403-13963-2017
2017,1,14,,56.0,,56.0,,,,,,,,,723403-13963-2017
2017,1,14,,72.0,,72.0,,,,,,-1.0,,,723403-13963-2017
2017,1,14,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,14,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,14,,78.0,,78.0,,,,,,,,,723403-13963-2017
2017,1,14,,78.0,,78.0,,,,,,-1.0,,,723403-13963-2017
2017,1,15,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,15,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,15,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,15,,67.0,,67.0,,,,,,,,,723403-13963-2017
2017,1,15,,67.0,,67.0,,,,,,,,,723403-13963-2017
2017,1,15,,56.0,,56.0,,,,,,,,,723403-13963-2017
2017,1,15,,56.0,,56.0,,,,,,,,,723403-13963-2017
2017,1,15,,56.0,,56.0,,,,,,,,,723403-13963-2017
2017,1,15,,56.0,,56.0,,,,,,,,,723403-13963-2017
2017,1,15,-9999.0,,50.0,,36.0,,9.0,,0.0,-9999.0,,,723403-13963-2017
2017,1,16,,72.0,,72.0,,,,,,,,,723403-13963-2017
2017,1,16,,70.0,,,,,,,,,-9999.0,,723403-13963-2017
2017,1,16,,78.0,,78.0,,,,,,-1.0,,-1.0,723403-13963-2017
2017,1,16,,78.0,,78.0,,,21.0,,-1.0,-9999.0,,,723403-13963-2017
2017,1,16,,89.0,,89.0,,,41.0,,-1.0,-9999.0,,,723403-13963-2017
2017,1,16,,,10177.0,,,,,,,,-9999.0,,723403-13963-2017
2017,1,16,,,10178.0,,,-9999.0,,-9999.0,,,,,723403-13963-2017
2017,1,16,,,10175.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,16,,,10162.0,,,-9999.0,,0.0,,,3.0,,723403-13963-2017
2017,1,16,,,10152.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
2017,1,16,,,10143.0,,,-9999.0,,0.0,-9999.0,,,,723403-13963-2017
