,,,,,YEAR,MONTH,DAY,HOUR,AIR-TEMP,DEW-POINT-TEMP,SEA-LEVEL-PRESSURE,WIND-DIRECTION,WIND-SPEED,SKY-CONDITION,RAIN-1HR,RAIN-6HR,SATELLITE-INFO
2017,1,4,16,,60.0,30.0,-9999.0,180.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,17,,50.0,20.0,-9999.0,230.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,18,,50.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,4,19,,40.0,10.0,-9999.0,270.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,20,,20.0,10.0,-9999.0,280.0,,26.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,4,21,,20.0,10.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,4,22,,30.0,20.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,4,23,,20.0,10.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,5,0,,20.0,10.0,-9999.0,,,,,,0.0,,,,406356-99999-2017
2017,1,5,1,,10.0,,0.0,,,,21.0,,,,0.0,-9999.0,406356-99999-2017
2017,1,5,2,,,-10.0,-9999.0,300.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
2017,1,5,3,,,-10.0,-9999.0,300.0,,21.0,,,,0.0,-9999.0,-9999.0,406356-99999-2017
