,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2016,1,17,3,,,269,,,224.0,10102.0,,,250.0,,,,50.0,,,,,6.0,-9999.0,-9999.0,
2016,1,17,9,,,232,,,206.0,10081.0,,,320.0,,,,20.0,,,,,6.0,-9999.0,-9999.0,
2016,1,17,12,,,220,,,191.0,10106.0,,,340.0,,,,30.0,,,,,6.0,-9999.0,-9999.0,
2016,1,17,15,,,216,,,196.0,10120.0,,,290.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,17,18,,,212,,,197.0,10119.0,,,350.0,,,,20.0,-9999.0,-9999.0,-9999.0,,,,,
2016,1,17,21,,,197,,,195.0,10126.0,,,190.0,,,,10.0,,,,,3.0,-9999.0,-9999.0,
2016,1,18,0,,,214,,,169.0,10154.0,,,,50.0,,,,40.0,,,,,3.0,-9999.0,-9999.0
2016,1,18,3,,,234,,,171.0,10161.0,,,,50.0,,,,40.0,,,,,4.0,-9999.0,-9999.0
2016,1,18,6,,,229,,,164.0,10146.0,,,,40.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,18,9,,,217,,,157.0,10155.0,,,,60.0,,,,40.0,,,,,6.0,-9999.0,-9999.0
2016,1,18,12,,,207,,,153.0,10174.0,,,,50.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,18,15,,,206,,,149.0,10184.0,,,,50.0,,,,80.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,18,18,,,207,,,140.0,10173.0,,,,50.0,,,,60.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,18,21,,,206,,,140.0,10178.0,,,,40.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,19,0,,,209,,,142.0,10200.0,,,,50.0,,,,50.0,,,,,5.0,-9999.0,-9999.0
2016,1,19,3,,,232,,,157.0,10205.0,,,,50.0,,,,60.0,,,,,4.0,-9999.0,-9999.0
2016,1,19,6,,,225,,,155.0,10187.0,,,,50.0,,,,60.0,,,,,6.0,-9999.0,-9999.0
2016,1,19,9,,,217,,,154.0,10186.0,,,,40.0,,,,70.0,,,,,2.0,-9999.0,-9999.0
2016,1,19,12,,,214,,,150.0,10206.0,,,,50.0,,,,80.0,,,,,2.0,-9999.0,-9999.0
2016,1,19,15,,,212,,,154.0,10210.0,,,,50.0,,,,60.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,19,18,,,210,,,156.0,10202.0,,,,50.0,,,,60.0,-9999.0,-9999.0,-9999.0,,,,
2016,1,19,21,,,214,,,153.0,10203.0,,,,50.0,,,,70.0,,,,,3.0,-9999.0,-9999.0
2016,1,20,0,,,217,,,159.0,10216.0,,,,50.0,,,,70.0,,,,,7.0,-9999.0,-9999.0
2016,1,20,9,,,229,,,166.0,10180.0,,,,50.0,,,,70.0,,,,,6.0,-9999.0,-9999.0
