,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
120,2004,4,6,18,,,280,,,260.0,10077.0,,,,70.0,,,,31.0,,,,,4.0,-9999.0,,,,,0.0
121,2004,4,7,6,,,286,,,260.0,10060.0,,,,80.0,,,,62.0,,,,,3.0,-9999.0,,,,,0.0
122,2004,4,8,6,,,285,,,250.0,10072.0,,,,90.0,,,,57.0,,,,,2.0,-9999.0,,,,,0.0
123,2004,4,8,18,,,282,,,260.0,10088.0,-9999.0,,,,15.0,,,,,2.0,-9999.0,,,,,0.0,,,
124,2004,4,9,18,,,284,,,260.0,10098.0,-9999.0,,,,10.0,,,,,2.0,-9999.0,,,,,0.0,,,
125,2004,4,10,6,,,285,,,250.0,10090.0,,,,70.0,,,,21.0,,,,,3.0,-9999.0,,,,,0.0
126,2004,4,11,6,,,283,,,260.0,10091.0,-9999.0,,,,15.0,,,,,3.0,-9999.0,,,,,0.0,,,
127,2004,4,11,18,,,283,,,250.0,10097.0,,,,80.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
128,2004,4,12,6,,,286,,,250.0,10096.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,,0.0,,,
129,2004,4,13,6,,,286,,,250.0,10082.0,,,,70.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
130,2004,4,13,18,,,285,,,250.0,10102.0,,,,70.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0
131,2004,4,14,0,,,325,,,260.0,10086.0,,,,80.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0
132,2004,4,18,18,,,283,,,260.0,10113.0,,,110.0,,,,41.0,,,,,7.0,-9999.0,,,,,0.0,
133,2004,4,19,6,,,284,,,260.0,10096.0,,,,80.0,,,,21.0,,,,,6.0,-9999.0,,,,,0.0
134,2004,4,19,18,,,274,,,260.0,10116.0,,,110.0,,,,41.0,,,,,7.0,-9999.0,,,,20.0,,
135,2004,4,20,6,,,270,,,250.0,10099.0,,,,70.0,,,,77.0,,,,,8.0,-9999.0,-9999.0,,,,
136,2004,4,21,18,,,284,,,250.0,10107.0,,,,90.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0
137,2004,4,22,6,,,278,,,250.0,10098.0,,,,70.0,,,,41.0,,,,,7.0,-9999.0,,,,,5.0
138,2004,4,22,18,,,280,,,250.0,10108.0,,,,90.0,,,,51.0,,,,,6.0,-9999.0,-9999.0,,,,
139,2004,4,23,6,,,284,,,250.0,10092.0,,,,70.0,,,,26.0,,,,,2.0,-9999.0,,,,,0.0
140,2004,4,23,18,,,274,,,250.0,10108.0,,,,70.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
141,2004,4,24,6,,,276,,,250.0,10100.0,,,,70.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
142,2004,4,24,18,,,278,,,260.0,10111.0,,,,70.0,,,,26.0,,,,,3.0,-9999.0,,,,,0.0
143,2004,4,25,6,,,286,,,250.0,10084.0,,,,70.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
144,2004,4,26,6,,,288,,,260.0,10064.0,,,,70.0,,,,21.0,,,,,3.0,-9999.0,-9999.0,,,,
145,2004,4,26,18,,,279,,,250.0,10079.0,,,,80.0,,,,31.0,,,,,5.0,-9999.0,,,,,0.0
146,2004,4,27,6,,,284,,,260.0,10062.0,,,,70.0,,,,21.0,,,,,5.0,-9999.0,,,,,0.0
147,2004,4,27,18,,,280,,,250.0,10072.0,,,,70.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
148,2004,4,28,6,,,287,,,260.0,10056.0,,,,70.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0
149,2004,4,28,18,,,280,,,260.0,10071.0,,,,70.0,,,,26.0,,,,,3.0,-9999.0,-9999.0,,,,
150,2004,4,30,6,,,270,,,260.0,10063.0,,,,70.0,,,,31.0,,,,,6.0,-9999.0,,,,41.0,
151,2004,5,1,6,,,267,,,260.0,10070.0,,,,80.0,,,,21.0,,,,,7.0,-9999.0,,,,51.0,
152,2004,5,1,18,,,270,,,260.0,10084.0,-9999.0,,,,15.0,,,,,8.0,-9999.0,,,,41.0,,,,
153,2004,5,2,6,,,282,,,250.0,10061.0,-9999.0,,,,31.0,,,,,6.0,-9999.0,,,,,0.0,,,
154,2004,5,6,6,,,283,-9999.0,-9999.0,,,,80.0,,,,26.0,,,,,7.0,-9999.0,-9999.0,,,,,,
155,2004,5,6,18,,,288,,,250.0,10078.0,,,110.0,,,,31.0,,,,,3.0,-9999.0,,,,,0.0,
156,2004,5,7,6,,,260,,,250.0,10079.0,,,110.0,,,,67.0,,,,,8.0,-9999.0,,,,30.0,,
157,2004,5,8,18,,,268,,,250.0,10083.0,,,,80.0,,,,51.0,,,,,7.0,-9999.0,,,,,0.0
158,2004,5,10,6,,,284,,,250.0,10068.0,,,100.0,,,,41.0,,,,,2.0,-9999.0,-9999.0,,,,,
159,2004,5,10,18,,,277,,,250.0,10071.0,,,,90.0,,,,26.0,,,,,3.0,-9999.0,,,,20.0,
160,2004,5,12,6,,,286,,,250.0,10051.0,,,100.0,,,,51.0,,,,,3.0,-9999.0,,,,,0.0,
161,2004,5,13,6,,,287,,,260.0,10056.0,,,,80.0,,,,51.0,,,,,2.0,-9999.0,,,,,0.0
162,2004,5,13,18,,,280,,,250.0,10090.0,,,,90.0,,,,51.0,,,,,7.0,-9999.0,,,,,5.0
163,2004,5,15,6,,,256,,,250.0,10099.0,,,170.0,,,,67.0,,,,,8.0,-9999.0,,,,41.0,,
164,2004,5,16,6,,,278,,,250.0,10114.0,,,,80.0,,,,21.0,,,,,3.0,-9999.0,-9999.0,,,,
165,2004,5,16,18,,,270,,,260.0,10125.0,,,,80.0,,,,31.0,,,,,6.0,-9999.0,,,,10.0,
166,2004,5,17,6,,,280,,,250.0,10114.0,,,,80.0,,,,31.0,,,,,4.0,-9999.0,,,,,0.0
167,2004,5,18,18,,,265,,,230.0,10116.0,,,,80.0,,,,21.0,,,,,1.0,-9999.0,,,,,0.0
168,2004,5,19,6,,,277,,,240.0,10098.0,,,,90.0,,,,21.0,,,,,2.0,-9999.0,,,,,0.0
169,2004,5,20,0,,,284,,,250.0,10087.0,,,,80.0,,,,21.0,,,,,2.0,-9999.0,,,,,0.0
170,2004,5,20,18,,,270,,,260.0,10109.0,,,100.0,,,,31.0,,,,,8.0,-9999.0,,,,79.0,,
171,2004,5,21,6,,,268,,,260.0,10089.0,,,,90.0,,,,26.0,,,,,6.0,-9999.0,,,,20.0,
172,2004,5,22,6,,,283,,,250.0,10097.0,,,,80.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
173,2004,5,23,6,,,278,,,240.0,10103.0,,,,70.0,,,,21.0,,,,,2.0,-9999.0,-9999.0,,,,
174,2004,5,24,6,,,278,,,240.0,10104.0,-9999.0,,,,10.0,,,,,7.0,-9999.0,-9999.0,,,,,,,
175,2004,5,25,6,,,178,-9999.0,10109.0,,,350.0,,,,21.0,,,,,3.0,-9999.0,,,,,0.0,,,
176,2004,5,25,18,,,262,,,260.0,10111.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,89.0,,,,
177,2004,5,27,6,,,278,,,250.0,10091.0,,,100.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0,
178,2004,5,27,18,,,283,,,250.0,10097.0,,,100.0,,,,41.0,,,,,2.0,-9999.0,,,,,0.0,
179,2004,5,28,6,,,278,,,250.0,10072.0,,,,90.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
180,2004,5,29,6,,,288,,,250.0,10076.0,,,110.0,,,,62.0,,,,,3.0,-9999.0,,,,,0.0,
181,2004,5,29,18,,,284,,,250.0,10087.0,,,,90.0,,,,51.0,,,,,3.0,-9999.0,,,,71.0,
182,2004,5,30,6,,,285,,,250.0,10079.0,,,,80.0,,,,31.0,,,,,2.0,-9999.0,,,,,0.0
183,2004,5,30,18,,,267,,,260.0,10097.0,,,,80.0,,,,31.0,,,,,8.0,-9999.0,,,109.0,,
184,2004,6,1,6,,,274,,,250.0,10084.0,-9999.0,,,,30.0,,,,,8.0,-9999.0,,,,,0.0,,,
185,2004,6,1,18,,,276,,,260.0,10082.0,,,,90.0,,,,41.0,,,,,3.0,-9999.0,,,,,0.0
186,2004,6,2,6,,,286,,,260.0,10065.0,-9999.0,,,,15.0,,,,,6.0,-9999.0,,,,,0.0,,,
187,2004,6,3,6,,,276,,,250.0,10059.0,,,,90.0,,,,51.0,,,,,6.0,-9999.0,-9999.0,,,,
188,2004,6,5,6,,,283,,,250.0,10091.0,,,,80.0,,,,51.0,,,,,6.0,-9999.0,,,,,0.0
189,2004,6,5,18,,,279,,,240.0,10108.0,,,,80.0,,,,31.0,,,,,6.0,-9999.0,,,,,0.0
190,2004,6,7,6,,,278,,,250.0,10081.0,,,,90.0,,,,41.0,,,,,5.0,-9999.0,-9999.0,,,,
191,2004,6,8,6,,,273,,,240.0,10076.0,-9999.0,,,,21.0,,,,,6.0,-9999.0,-9999.0,,,,,,,
192,2004,6,9,6,,,283,,,250.0,10072.0,,,100.0,,,,41.0,,,,,5.0,-9999.0,,,,,0.0,
193,2004,6,10,6,,,287,,,250.0,10081.0,,,,70.0,,,,21.0,,,,,6.0,-9999.0,,,,,0.0
