,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,14,16,,,-60.0,,,-70.0,-9999.0,,,260.0,,,,15.0,-9999.0,-9999.0,-9999.0
2010,1,14,17,,,-60.0,,,-70.0,-9999.0,,,190.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,14,20,,,-50.0,,,-50.0,-9999.0,,,260.0,,,,21.0,-9999.0,-9999.0,-9999.0
2010,1,14,21,,,-40.0,,,-50.0,-9999.0,,,280.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,14,22,,,-30.0,,,-50.0,-9999.0,,,310.0,,,,21.0,-9999.0,-9999.0,-9999.0
2010,1,15,5,,,,20.0,,-100.0,-9999.0,,,130.0,,,,15.0,-9999.0,-9999.0,-9999.0
2010,1,15,7,,,,30.0,-9999.0,-9999.0,,,280.0,,,,10.0,-9999.0,-9999.0,-9999.0,
2010,1,15,14,,,-10.0,,,-60.0,-9999.0,-9999.0,,,,,5.0,-9999.0,-9999.0,-9999.0,
2010,1,15,15,,,-20.0,,,-60.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,
2010,1,15,18,,,-10.0,,,-80.0,-9999.0,,,190.0,,,,15.0,-9999.0,-9999.0,-9999.0
2010,1,15,19,,,-10.0,,-110.0,-9999.0,,,160.0,,,,67.0,-9999.0,-9999.0,-9999.0,
2010,1,15,20,,,,10.0,,-120.0,-9999.0,,,160.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,1,16,6,,,,10.0,,,-80.0,-9999.0,-9999.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,16,7,,,,10.0,,,-80.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,
2010,1,16,9,,,,,0.0,,,-90.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0
2010,1,17,12,,,,10.0,,-100.0,-9999.0,,,150.0,,,,67.0,-9999.0,-9999.0,-9999.0
2010,1,17,15,,,,10.0,,-100.0,-9999.0,-9999.0,,,,57.0,-9999.0,-9999.0,-9999.0,,
2010,1,17,16,,,,,0.0,,,-80.0,-9999.0,-9999.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,1,18,5,,,-50.0,,,-90.0,-9999.0,,,140.0,,,,51.0,-9999.0,-9999.0,-9999.0
2010,1,18,6,,,-50.0,,,-90.0,-9999.0,,,140.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,18,7,,,-50.0,,,-90.0,-9999.0,,,130.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,1,18,8,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,87.0,-9999.0,-9999.0,-9999.0
2010,1,18,9,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,1,18,10,,,-10.0,,,-90.0,-9999.0,,,140.0,,,,57.0,-9999.0,-9999.0,-9999.0
