,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
136,2013,1,7,0,,,,70.0,,,,70.0,-9999.0,,,170.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
137,2013,1,7,1,,,,70.0,,,,70.0,-9999.0,,,180.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
138,2013,1,7,2,,,,70.0,,,,70.0,-9999.0,,,180.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
139,2013,1,7,3,,,,70.0,,,,70.0,-9999.0,,,170.0,,,118.0,,,,,8.0,-9999.0,-9999.0,
140,2013,1,7,4,,,,70.0,,,,70.0,-9999.0,,,180.0,,,113.0,,,,,8.0,-9999.0,-9999.0,
141,2013,1,7,5,,,,70.0,,,,70.0,-9999.0,,,190.0,,,123.0,,,,,7.0,-9999.0,-9999.0,
142,2013,1,7,6,,,,70.0,,,,70.0,-9999.0,,,200.0,,,123.0,,,,,7.0,-9999.0,-9999.0,
143,2013,1,7,7,,,,70.0,,,,70.0,-9999.0,,,200.0,,,118.0,,,,,7.0,-9999.0,-9999.0,
144,2013,1,7,8,,,,70.0,,,,70.0,-9999.0,,,210.0,,,108.0,,,,,4.0,-9999.0,-9999.0,
145,2013,1,7,9,,,,70.0,,,,70.0,-9999.0,,,220.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
146,2013,1,7,10,,,,70.0,,,,70.0,-9999.0,,,220.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
147,2013,1,7,11,,,,70.0,,,,70.0,-9999.0,,,230.0,,,,72.0,,,,,7.0,-9999.0,-9999.0
148,2013,1,7,13,,,,70.0,,,,70.0,-9999.0,,,210.0,,,,72.0,,,,,4.0,-9999.0,-9999.0
149,2013,1,7,14,,,,70.0,,,,70.0,-9999.0,,,230.0,,,,62.0,,,,,7.0,-9999.0,-9999.0
150,2013,1,7,15,,,,70.0,,,,70.0,-9999.0,,,220.0,,,,46.0,,,,,7.0,-9999.0,-9999.0
151,2013,1,7,16,,,,70.0,,,,70.0,-9999.0,,,210.0,,,,51.0,,,,,7.0,-9999.0,-9999.0
152,2013,1,7,17,,,,70.0,,,,70.0,-9999.0,,,210.0,,,,51.0,,,,,7.0,-9999.0,-9999.0
153,2013,1,7,18,,,,70.0,,,,70.0,-9999.0,,,230.0,,,,31.0,-9999.0,-9999.0,-9999.0,,,,
154,2013,1,7,19,,,,70.0,,,,70.0,-9999.0,,,230.0,,,,36.0,,,,,0.0,-9999.0,-9999.0
155,2013,1,7,20,,,,70.0,,,,70.0,-9999.0,,,260.0,,,,21.0,,,,,8.0,-9999.0,-9999.0
156,2013,1,7,22,,,,70.0,,,,70.0,-9999.0,,,240.0,,,,15.0,,,,,8.0,-9999.0,-9999.0
157,2013,1,7,23,,,,70.0,,,,70.0,-9999.0,,,260.0,,,,21.0,,,,,8.0,-9999.0,-9999.0
158,2013,1,8,0,,,,70.0,,,,70.0,-9999.0,,,320.0,,,,15.0,,,,,7.0,-9999.0,-9999.0
159,2013,1,8,1,,,,70.0,,,,70.0,-9999.0,,,350.0,,,,26.0,,,,,7.0,-9999.0,-9999.0
160,2013,1,8,7,,,,70.0,,,,60.0,-9999.0,,,,90.0,,,,41.0,-9999.0,-9999.0,-9999.0,,,
161,2013,1,8,8,,,,70.0,,,,60.0,-9999.0,,,130.0,,,,41.0,,,,,2.0,-9999.0,-9999.0
162,2013,1,8,9,,,,70.0,,,,70.0,-9999.0,,,130.0,,,,72.0,,,,,8.0,-9999.0,-9999.0
163,2013,1,8,10,,,,70.0,,,,60.0,-9999.0,,,140.0,,,,82.0,,,,,7.0,-9999.0,-9999.0
164,2013,1,8,11,,,,70.0,,,,70.0,-9999.0,,,140.0,,,,87.0,,,,,7.0,-9999.0,-9999.0
165,2013,1,8,12,,,,70.0,,,,70.0,-9999.0,,,140.0,,,,93.0,-9999.0,-9999.0,-9999.0,,,,
166,2013,1,8,13,,,,70.0,,,,70.0,-9999.0,,,150.0,,,,93.0,,,,,7.0,-9999.0,-9999.0
167,2013,1,8,14,,,,70.0,,,,70.0,-9999.0,,,160.0,,,108.0,,,,,8.0,-9999.0,-9999.0,
168,2013,1,8,15,,,,70.0,,,,70.0,-9999.0,,,150.0,,,113.0,,,,,7.0,-9999.0,-9999.0,
169,2013,1,8,16,,,,70.0,,,,70.0,-9999.0,,,140.0,,,129.0,,,,,7.0,-9999.0,-9999.0,
170,2013,1,8,17,,,,70.0,,,,70.0,-9999.0,,,150.0,,,139.0,,,,,8.0,-9999.0,-9999.0,
171,2013,1,8,18,,,,70.0,,,,70.0,-9999.0,,,160.0,,,129.0,,,,,8.0,-9999.0,-9999.0,
172,2013,1,8,19,,,,80.0,,,,80.0,-9999.0,,,280.0,,,134.0,,,,,8.0,-9999.0,-9999.0,
173,2013,1,8,20,,,,80.0,,,,60.0,-9999.0,,,300.0,,,113.0,,,,,8.0,-9999.0,-9999.0,
174,2013,1,8,21,,,,80.0,,,,60.0,-9999.0,,,270.0,,,103.0,,,,,4.0,-9999.0,-9999.0,
175,2013,1,8,22,,,,80.0,,,,60.0,-9999.0,,,260.0,,,,87.0,,,,,7.0,-9999.0,-9999.0
176,2013,1,8,23,,,,70.0,,,,60.0,-9999.0,,,250.0,,,,82.0,,,,,2.0,-9999.0,-9999.0
177,2013,1,9,0,,,,80.0,,,,50.0,-9999.0,,,260.0,,,,93.0,,,,,0.0,-9999.0,-9999.0
178,2013,1,9,1,,,,70.0,,,,50.0,-9999.0,,,240.0,,,,87.0,,,,,0.0,-9999.0,-9999.0
179,2013,1,9,2,,,,70.0,,,,50.0,-9999.0,,,240.0,,,,98.0,,,,,0.0,-9999.0,-9999.0
180,2013,1,9,3,,,,70.0,,,,40.0,-9999.0,,,260.0,,,113.0,,,,,0.0,-9999.0,-9999.0,
181,2013,1,9,4,,,,70.0,,,,40.0,-9999.0,,,250.0,,,103.0,,,,,0.0,-9999.0,-9999.0,
182,2013,1,9,5,,,,70.0,,,,40.0,-9999.0,,,250.0,,,113.0,,,,,2.0,-9999.0,-9999.0,
183,2013,1,9,6,,,,70.0,,,,40.0,-9999.0,,,250.0,,,,98.0,,,,,7.0,-9999.0,-9999.0
184,2013,1,9,7,,,,70.0,,,,40.0,-9999.0,,,240.0,,,113.0,,,,,7.0,-9999.0,-9999.0,
185,2013,1,9,8,,,,70.0,,,,40.0,-9999.0,,,240.0,,,108.0,,,,,7.0,-9999.0,-9999.0,
