,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
126,2015,1,6,11,,-342,-9999,-9999.0,,,,40.0,,,,62,-9999.0,-9999.0,-9999.0
127,2015,1,6,12,,-342,-9999,-9999.0,,,,30.0,,,,57,-9999.0,-9999.0,-9999.0
128,2015,1,6,13,,-342,-9999,-9999.0,,,,20.0,,,,62,-9999.0,-9999.0,-9999.0
129,2015,1,6,14,,-342,-9999,-9999.0,,,,20.0,,,,46,-9999.0,-9999.0,-9999.0
130,2015,1,6,15,,-342,-9999,-9999.0,,,,20.0,,,,67,-9999.0,-9999.0,-9999.0
131,2015,1,6,16,,-342,-9999,-9999.0,,,,20.0,,,,67,-9999.0,-9999.0,-9999.0
132,2015,1,6,17,,-342,-9999,-9999.0,,,,20.0,,,,51,-9999.0,-9999.0,-9999.0
133,2015,1,6,18,,-342,-9999,-9999.0,,,,20.0,,,,41,-9999.0,-9999.0,-9999.0
134,2015,1,6,19,,-342,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
135,2015,1,6,20,,-342,-9999,-9999.0,,,,40.0,,,,46,-9999.0,-9999.0,-9999.0
136,2015,1,6,21,,-342,-9999,-9999.0,,,,40.0,,,,46,-9999.0,-9999.0,-9999.0
137,2015,1,6,22,,-342,-9999,-9999.0,,,,40.0,,,,31,-9999.0,-9999.0,-9999.0
138,2015,1,6,23,,-342,-9999,-9999.0,,,,40.0,,,,46,-9999.0,-9999.0,-9999.0
139,2015,1,7,0,,-342,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
140,2015,1,7,1,,-342,-9999,-9999.0,,,,50.0,,,,72,-9999.0,-9999.0,-9999.0
141,2015,1,7,2,,-342,-9999,-9999.0,,,,50.0,,,,72,-9999.0,-9999.0,-9999.0
142,2015,1,7,3,,-342,-9999,-9999.0,,,,40.0,,,,67,-9999.0,-9999.0,-9999.0
143,2015,1,7,4,,-342,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
