,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
109,2006,1,17,2,,,301.0,,,181.0,10116.0,,,100.0,,,,57.0,-9999,-9999.0,-9999.0,
110,2006,1,17,5,,,298.0,,,208.0,10102.0,,,,80.0,,,,62,-9999.0,-9999.0,-9999.0
111,2006,1,17,8,,,282.0,,,215.0,10102.0,,,,60.0,,,,46,-9999.0,-9999.0,-9999.0
112,2006,1,17,11,,,272.0,,,222.0,10111.0,,,,60.0,,,,46,-9999.0,-9999.0,-9999.0
113,2006,1,17,14,,,266.0,,,215.0,10107.0,,,100.0,,,,21.0,-9999,-9999.0,-9999.0,
114,2006,1,17,17,,,249.0,,,218.0,10093.0,,,160.0,,,,21.0,-9999,-9999.0,-9999.0,
115,2006,1,17,20,,,243.0,,,219.0,10100.0,,,200.0,,,,21.0,-9999,-9999.0,-9999.0,
116,2006,1,17,23,,,288.0,,,207.0,10103.0,,,110.0,,,,36.0,-9999,-9999.0,-9999.0,
117,2006,1,18,2,,,305.0,,,190.0,10096.0,,,,70.0,,,,51,-9999.0,-9999.0,-9999.0
118,2006,1,18,5,,,300.0,,,206.0,10077.0,,,,70.0,,,,57,-9999.0,-9999.0,-9999.0
119,2006,1,18,8,,,285.0,,,220.0,10083.0,,,,80.0,,,,62,-9999.0,-9999.0,-9999.0
120,2006,1,18,11,,,276.0,,,212.0,10099.0,,,,90.0,,,,46,-9999.0,-9999.0,-9999.0
121,2006,1,18,14,,,272.0,,,219.0,10100.0,,,,80.0,,,,41,-9999.0,-9999.0,-9999.0
122,2006,1,18,17,,,262.0,,,221.0,10088.0,,,160.0,,,,21.0,-9999,-9999.0,-9999.0,
123,2006,1,18,20,,,253.0,,,227.0,10111.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
124,2006,1,18,23,,,287.0,,,225.0,10114.0,,,100.0,,,,31.0,-9999,-9999.0,-9999.0,
125,2006,1,19,2,,,307.0,,,221.0,10110.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
126,2006,1,19,5,,,301.0,,,231.0,10088.0,,,,70.0,,,,62,-9999.0,-9999.0,-9999.0
127,2006,1,19,8,,,287.0,,,228.0,10094.0,,,,80.0,,,,67,-9999.0,-9999.0,-9999.0
128,2006,1,19,11,,,282.0,,,233.0,10116.0,,,,80.0,,,,46,-9999.0,-9999.0,-9999.0
129,2006,1,19,14,,,247.0,,,231.0,10114.0,,,140.0,,,,31.0,-9999,-9999.0,-9999.0,
130,2006,1,19,20,,,243.0,,,226.0,10112.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
131,2006,1,19,23,,,281.0,,,221.0,10121.0,,,130.0,,,,46.0,-9999,-9999.0,-9999.0,
132,2006,1,20,2,,,311.0,,,219.0,10106.0,,,110.0,,,,62.0,-9999,-9999.0,-9999.0,
133,2006,1,20,5,,,289.0,,,235.0,10092.0,,,,80.0,,,,67,-9999.0,-9999.0,-9999.0
134,2006,1,20,8,,,239.0,,,230.0,10104.0,,,220.0,,,,15.0,-9999,-9999.0,-9999.0,
135,2006,1,20,14,,,244.0,,,222.0,10105.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
136,2006,1,20,17,,,243.0,,,221.0,10088.0,,,160.0,,,,26.0,-9999,-9999.0,-9999.0,
137,2006,1,20,20,,,247.0,,,220.0,10105.0,,,160.0,,,,36.0,-9999,-9999.0,-9999.0,
138,2006,1,20,23,,,276.0,,,220.0,10110.0,,,140.0,,,,46.0,-9999,-9999.0,-9999.0,
139,2006,1,21,2,,,296.0,,,216.0,10094.0,,,100.0,,,,62.0,-9999,-9999.0,-9999.0,
140,2006,1,21,8,,,291.0,,,225.0,10088.0,,,110.0,,,,67.0,-9999,-9999.0,-9999.0,
141,2006,1,21,11,,,272.0,,,222.0,10106.0,,,140.0,,,,41.0,-9999,-9999.0,-9999.0,
142,2006,1,21,14,,,256.0,,,216.0,10097.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
143,2006,1,21,17,,,248.0,,,215.0,10073.0,,,160.0,,,,36.0,-9999,-9999.0,-9999.0,
144,2006,1,21,20,,,248.0,,,214.0,10080.0,,,170.0,,,,36.0,-9999,-9999.0,-9999.0,
145,2006,1,21,23,,,282.0,,,218.0,10087.0,,,130.0,,,,67.0,-9999,-9999.0,-9999.0,
146,2006,1,22,2,,,307.0,,,222.0,10082.0,,,110.0,,,,72.0,-9999,-9999.0,-9999.0,
147,2006,1,22,5,,,305.0,,,216.0,10065.0,,,100.0,,,,72.0,-9999,-9999.0,-9999.0,
148,2006,1,22,8,,,285.0,,,223.0,10073.0,,,100.0,,,,67.0,-9999,-9999.0,-9999.0,
149,2006,1,22,11,,,261.0,,,230.0,10089.0,,,150.0,,,,36.0,-9999,-9999.0,-9999.0,
150,2006,1,22,14,,,254.0,,,225.0,10085.0,,,150.0,,,,31.0,-9999,-9999.0,-9999.0,
151,2006,1,22,20,,,246.0,,,225.0,10080.0,,,170.0,,,,31.0,-9999,-9999.0,-9999.0,
152,2006,1,22,23,,,280.0,,,223.0,10082.0,,,120.0,,,,46.0,-9999,-9999.0,-9999.0,
153,2006,1,23,2,,,302.0,,,223.0,10073.0,,,,80.0,,,,62,-9999.0,-9999.0,-9999.0
154,2006,1,23,5,,,298.0,,,223.0,10060.0,,,,90.0,,,,62,-9999.0,-9999.0,-9999.0
